Action,Old Id (id),New Id Proposal,Old Order (order),New Order Proposal,Field Key (field_key),Display Name (display_name),Old Question (question),New Question Proposal,Old Group (group),New Group Proposal,KYB Form Step,Created At (created_at),Field Type (field_type),Help Text (help_text),Required (required),Updated At (updated_at),Validation Rules (validation_rules)
EDIT,19.0,23.0,19.0,23.0,financialStatements,Financial Statements,Can you provide recent financial statements?,,Tax Identification,operationsCompliance,04 - Operations & Compliance,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,20.0,24.0,20.0,24.0,operationalPolicies,Operational Policies,What are the key operational policies?,List the company’s key operational policies.,Tax Identification,operationsCompliance,04 - Operations & Compliance,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,21.0,25.0,21.0,25.0,dataVolume,Data Volume,How much data does the company currently manage?,Estimate the volume of data the company currently manages.,Tax Identification,operationsCompliance,04 - Operations & Compliance,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,22.0,26.0,22.0,26.0,dataTypes,Data Types,Which types of data does the company need access to?,,Tax Identification,operationsCompliance,04 - Operations & Compliance,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,23.0,27.0,23.0,27.0,sanctionsCheck,Sanctions Check,Has sanctions screening been completed?,Has the company completed sanctions screening?,Sanctions & Adverse Media,operationsCompliance,04 - Operations & Compliance,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,24.0,28.0,24.0,28.0,dueDiligence,Due Diligence,What due diligence has been performed?,What due diligence processes has the company completed?,Sanctions & Adverse Media,operationsCompliance,04 - Operations & Compliance,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
ADD,,29.0,,29.0,investigationsIncidents,Legal Investigations,Has the company or any affiliates been involved in investigations or legal issues in the past five years?,Has the company or any of its affiliates faced legal or regulatory investigations in the last five years?,Sanctions & Adverse Media,operationsCompliance,04 - Operations & Compliance,,BOOLEAN,,True,,
ADD,,30.0,,30.0,regulatoryActions,Regulatory Orders,Has the company been subject to any regulatory orders or high-risk findings?,Has the company been issued regulatory orders or been specifically cited for high-risk findings?,Sanctions & Adverse Media,operationsCompliance,04 - Operations & Compliance,,BOOLEAN,,True,,
DELETE,14.0,,14.0,,taxReceipts,Tax Receipts,Please provide the company's most recent tax receipts or fiscal year tax filings.,,Tax Identification,,,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
DELETE,13.0,,13.0,,taxId,Tax ID,What is the company's tax identification number?,,Tax Identification,,,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
