ID (id),Order (order),Field Key (field_key),Label (label),Question (description),Help Text (help_text),Demo Autofill Answer (demo_autofill),Group (section),Field Type (field_type),Required (is_required),Answer Expectation,Validation Type,Phasing,SOC2 Overlap,validation_rules,created_at,updated_at,step_index
11,11,acceptableUse,Acceptable Use,Provide details about your organization's written acceptable use governance document covering information technology resources.,Briefly describe the coverage and purpose of your acceptable use policy.,"Our acceptable use governance document covers permitted technology use, restrictions, and user responsibilities, communicated clearly to all employees.",Compliance,TEXT,TRUE,Provide a written acceptable use of technology governance document.,Validated Assessment by Person,Day 1,CC3.2,NULL,,,0
12,12,dataRetentionGovernance,Data Retention Governance,Summarize your organization's documented governance approach for managing data retention policies and procedures.,Provide your organization's policies for retaining or deleting data.,"Data retention governance is documented, outlining policies, schedules, responsibilities, and processes for secure data storage, retention, and timely disposal.",Compliance,TEXT,TRUE,Provide a written governance document covering your data retention program.,Validated Assessment by Person,Day 1,CC2.1,NULL,,,0
13,13,regulatoryCompliance,Regulatory Compliance,Explain how your cybersecurity policies and strategies explicitly address your organization's legal and regulatory compliance obligations.,Summarize how your policies ensure compliance with relevant regulations.,"Cybersecurity strategies are explicitly aligned with applicable legal and regulatory requirements, including regular compliance audits and reporting.",Compliance,TEXT,TRUE,"Describe how the cybersecurity policy, strategy, or framework includes the organization's legal and regulatory obligations.",Validated Assessment by Person,Day 1,"CC1.2, CC2.1",NULL,,,0
14,14,changeAuditTrail,Change Audit Trail,Provide details on how your organization maintains an audit trail for tracking and documenting all system and process changes.,Identify tools used for filtering high-risk or malicious web content.,"A detailed audit trail of all system changes is maintained, including timestamps, authorizations, justifications, and rollback procedures.",Compliance,TEXT,TRUE,Provide evidence of a change management audit trail.,Validated Assessment by Person,Day 1,"CC5.3, CC7.3",NULL,,,0
15,15,securityPolicy,Security Policy,"Describe your organization's documented information security or cybersecurity policies, including their scope and coverage.",Confirm existence and scope of documented cybersecurity policies.,"Our organization maintains documented cybersecurity policies covering data protection, access control, and incident response, reviewed and updated annually.",Compliance,TEXT,TRUE,Provide a written information security / cybersecurity policy.,Validated Assessment by Person,Day 1,CC1.2,NULL,,,0
16,16,equipmentRedundancy,Equipment Redundancy,"Explain your organization's strategy for providing redundant equipment for critical business functions, including how you ensure equipment is independently located according to industry standards.",Detail the redundancy measures in place for business-critical equipment.,"Critical business equipment has redundant counterparts independently located at a separate, industry-standard minimum distance.",Compliance,TEXT,TRUE,"Describe the distance, in miles, between primary and backup datacenters. Describe the how the primary and alternate data center are connected (e.g. hot-hot, active-active, hot-cold)",Validated Assessment by Person,Day 1,A1.2,NULL,,,0
17,17,remoteMfa,Remote MFA,Explain your organization's multifactor authentication requirements for remote network access.,Explain measures to segregate guest or non-production wireless networks.,"Multifactor authentication (MFA) is mandated for all remote network access, using secure methods such as mobile authenticator apps or hardware tokens.",Authentication,TEXT,TRUE,Provide evidence that the organization requires multifactor authentication for all remote network access. Describe the type of multifactor authentication (MFA) in use for in-scope for remote network access.,Validated Assessment by Person,Day 1,"CC7.1, CC7.2",NULL,,,1
18,18,centralizedAuthentication,Centralized Authentication,"Summarize your organization's centralized account management and authentication system, including encryption practices for credentials at rest and in transit.",List the security controls implemented on your network.,"Centralized account management uses Active Directory and Single Sign-On (SSO) solutions to manage credentials securely, encrypting them both at rest and in transit.",Authentication,TEXT,TRUE,Describe how the organization uses a centralized account management and authentication mechanisms. Describe the name(s) of the centralized authentication mechanisms in use.,Self-Attestation & Self-Assertion,Day 1,CC7.1,NULL,,,1
19,19,transactionAuthentication,Transaction Authentication,"Explain how your organization manages authorization or independent authentication of transactions to protect against fraud, theft, and errors.",Clarify your approach to managing secure transaction authentication.,"Transaction authentication processes employ advanced, secure methods such as multifactor authentication and transaction verification codes to prevent fraud and errors.",Authentication,TEXT,TRUE,"Describe how the organization manages authorization or independent transaction authentication to protect against fraud, theft, and errors.",Validated Assessment by Person,Day 1,"CC7.2, CC7.4",NULL,,,1
20,20,physicalMfa,Physical MFA,"Describe your organization's use of multi-factor authentication (MFA) to restrict physical access to locations handling client data, ensuring unique identification of authorized personnel.","Detail your use of MFA, including which systems and user types require it.",Physical access at data-handling locations requires multifactor authentication with unique identification badges and biometric verification.,Authentication,TEXT,TRUE,Provide evidence showing how the organization restricts physical access to authorized personnel for all in-scope facility locations with a way to uniquely identify each person entering the area via multi-factor authentication.,Validated Assessment by Person,Day 2,CC6.2,NULL,,,1
21,21,passwordVisibility,Password Visibility,Explain how your organization ensures that passwords are concealed or obscured during login processes for systems handling client data.,Specify actions taken when an account compromise is suspected.,"Password fields during login processes are concealed, encrypted, and obscured to prevent accidental disclosure or viewing by unauthorized individuals.",Authentication,TEXT,TRUE,"Provide evidence the organization requires passwords be masked, obfuscated, or not echoed during login for all in-scope systems that store, transfer, or process client data.",Validated Assessment by Person,Day 1,CC7.1,NULL,,,1
22,22,defaultPasswords,Default Passwords,Detail the process your organization follows to verify modifications of default passwords and disable unnecessary default accounts prior to system deployment.,State the password complexity standards you enforce.,"Default passwords are immediately changed, and unnecessary default accounts are disabled before any system deployment or configuration in production environments.",Authentication,TEXT,TRUE,Provide evidence showing the organization ensures default passwords and unnecessary default accounts are changed before system implementation.,Validated Assessment by Person,Day 2,CC7.1,NULL,,,1
23,23,passwordPolicies,Password Policies,Describe your organization's standards and criteria for password policies applied to all systems managing client data.,Clarify your policy on ensuring passwords remain hidden during login.,"Password policies conform to industry best practices, requiring complexity, periodic changes, and preventing reuse across all systems handling client data.",Authentication,TEXT,TRUE,"Provide evidence showing the organization aligns with industry best practices for password policies on all systems that store, transfer, or process client data.",Self-Attestation & Self-Assertion,Day 1,"CC7.1, CC4.1",NULL,,,1
24,24,accountCompromise,Account Compromise,Provide details about your organization's response and required actions when an account compromise is suspected.,Describe multifactor authentication requirements for remote access.,"Suspected account compromises trigger immediate password resets, account reviews, and security incident investigations to mitigate further risk.",Authentication,TEXT,TRUE,Describe how the organization mandates immediate password changes when an account is suspected to be compromised.,Validated Assessment by Person,Day 1,CC7.1,NULL,,,1
25,25,deviceAccessMonitoring,Device Access Monitoring,"Explain the procedures and tools your organization uses to monitor, detect, and control access to devices, network connections, and data transfers.",Outline your requirements for secure development training for developers.,"We utilize advanced network monitoring tools and endpoint protection solutions to detect, monitor, and control access to devices, connections, and data transfers.",Authentication,TEXT,TRUE,"Provide evidence showing that the organization has procedures or adequate tools in place to monitor, detect, and block access from/to devices, connections, and data transfers. Describe the tools used to monitor, detect, and block access from/to devices, connections, and data transfers.",Self-Attestation & Self-Assertion,Day 1,CC6.2,NULL,,,1
26,26,annualSecurityTraining,Annual Security Training,"Provide details on the cybersecurity awareness training curriculum, including frequency and completion requirements for employees.",Describe your security training and awareness activities.,"All employees complete cybersecurity awareness training annually, covering phishing, password security, and information handling best practices.",Authentication,TEXT,TRUE,"Provide evidence showing cybersecurity awareness training that is relevant to all personnel (full-time or part-time; permanent, temporary or contract) on an annual or more frequent schedule.",Validated Assessment by Person,Day 1,"CC1.4, CC2.1",NULL,,,1
27,27,complianceTraining,Compliance Training,"Describe the compliance-related training your organization provides, including its scope, frequency, and targeted audience.",Describe the nature and frequency of compliance training provided.,"Compliance-related training sessions are provided quarterly, covering critical regulations, ethical standards, and procedural compliance requirements.",Authentication,TEXT,TRUE,Provide compliance related training evidence,Validated Assessment by Person,Day 1,"CC3.2, CC7.4",NULL,,,1
28,28,executiveCyberTraining,Executive Cyber Training,Explain the type and frequency of information security or cybersecurity situational awareness training provided specifically to your organization's senior management and governing body.,Confirm if cybersecurity training is provided to senior executives.,"Executive cybersecurity training is provided annually, highlighting current threats, strategic risks, and governance responsibilities for senior management.",Authentication,TEXT,TRUE,Describe how information security or cybersecurity situational awareness training is provided to the organization's governing body or senior management.,Validated Assessment by Person,Day 1,"CC4.2, CC1.4",NULL,,,1
29,29,developerTraining,Developer Training,Provide details about your organization's training requirements for developers (including subcontractors) regarding secure system development practices.,Describe your security training and awareness activities.,"Developers, including subcontractors, complete mandatory secure development training annually, emphasizing secure coding practices and vulnerability prevention.",Authentication,TEXT,TRUE,"Provide evidence the organization requires developers, including employees and subcontractors, complete secure system development training.",Self-Attestation & Self-Assertion,Day 2,"CC7.3, CC7.4",NULL,,,1
30,30,privilegedUserLogs,Privileged User Logs,Explain your organization's procedures for logging and reviewing privileged user activities.,Explain how you manage and review security event logs.,"Privileged user activities are logged, regularly reviewed, and monitored closely for anomalies or unauthorized actions.",Authentication,TEXT,TRUE,Provide evidence regarding the review of system activities of privileged users and how monitoring for anomalies is implemented. Describe the frequency that reviews are performed.,Validated Assessment by Person,Day 1,CC7.2,NULL,,,1
31,31,tlsEncryptionStandards,TLS Encryption Standards,"Clarify the non-deprecated encryption methods your organization employs (e.g., TLS 1.2 or greater) for encrypting client data during external network transmission.",Outline your data encryption methods for storage and transmission.,"Client data in transit is encrypted using modern protocols equivalent to TLS 1.2 or greater, regularly audited for compliance with security standards.",Data,TEXT,TRUE,Provide evidence that only non-deprecated encryption methods to encrypt client data in-transit on external networks using the equivalent of TLS 1.2 or greater are in use. Describe the cipher suite used. Describe the encryption strength and algorithm.,Self-Attestation & Self-Assertion,Day 1,"CC6.1, CC7.1",NULL,,,2
32,32,keyManagementStrategy,Key Management Strategy,"Describe your organization's established centralized cryptographic key management strategy, including management and storage practices.",Briefly explain your cryptographic key management practices.,"A centralized cryptographic key management system securely stores and regularly rotates encryption keys, following industry best practices.",Data,TEXT,TRUE,Provide evidence your organization has implemented a centralized cryptographic key management approach.,Validated Assessment by Person,Day 1,CC6.1,NULL,,,2
33,33,activityLogging,Activity Logging,"Describe how your organization logs and monitors user activity across applications, platforms, network devices, databases, and servers.",List the security controls implemented on your network.,User activities across all critical systems and applications are logged and monitored continuously to detect and respond to suspicious behavior.,Data,TEXT,TRUE,"Provide evidence showing logging to track user activity for applications, platforms, network devices, databases, and servers is enabled. Describe how audit trails have been designed to detect cybersecurity events that may materially harm normal operations of the organization. Describe how audit trails (logs) are reviewed and analyzed.",Validated Assessment by Person,Day 1,CC7.2,NULL,,,2
34,34,databaseSynchronization,Database Synchronization,"Detail your organization's technology solutions and processes for mirroring, replicating, or synchronizing production databases with backup databases.",Briefly describe your method for mirroring or synchronizing production databases.,"Database mirroring, replication, and synchronization technologies are actively used to ensure continuous data protection and rapid recovery capabilities.",Data,TEXT,TRUE,"Provide evidence of the technology solution used to mirror, replicate, or synchronize production databases with backup databases or all in-scope facility locations that collect, store, process, handle, or transfer client data.",Validated Assessment by Person,Day 1,A1.2,NULL,,,2
35,35,webFiltering,Web Filtering,Describe the tools and technologies your organization employs to filter and block access to websites identified as high-risk or containing malicious content.,Confirm how you ensure all client data remains encrypted at rest and in transit.,"We use advanced web-filtering technology to block and monitor access to high-risk or malicious websites, updated continuously based on threat intelligence.",Data,TEXT,TRUE,Provide evidence of tools used for web-filtering tools and technology to block access to inappropriate or malicious websites.Describe the name of web-filtering tools and technology implemented to block access to inappropriate or malicious websites. Describe the version of web-filtering tools and technology implemented to block access to inappropriate or malicious websites.,Self-Attestation & Self-Assertion,Day 1,CC7.1,NULL,,,2
36,36,encryptionVerification,Encryption Verification,"Detail the process your organization uses to ensure no client data remains unencrypted, whether at rest or in transit.",State encryption protocols and standards used for data in transit.,"Regular audits and verification processes confirm that no client data remains unencrypted at rest or in transit, with quarterly validation checks.",Data,TEXT,TRUE,"If no, describe any services where client data may be unencrypted within the in-scope environment. If no, describe why client data may be unencrypted within the in-scope environment.",Self-Attestation & Self-Assertion,Day 1,CC7.1,NULL,,,2
37,37,clientDataSegregation,Client Data Segregation,Describe how your organization logically or physically segregates client data from other client data.,Specify methods used for logically or physically segregating client data.,"We implement strict logical and physical segregation of client data through virtual networks, dedicated servers, and secure data storage areas.",Data,TEXT,TRUE,Describe how the organization logically or physically segregates client data from other client data.,Validated Assessment by Person,Day 1,CC2.1,NULL,,,2
38,38,privacyPolicyDocument,Privacy Policy Document,Summarize the key components covered in your organization's written privacy policy.,State briefly what is covered by your organization's privacy policy.,"Our written privacy policy outlines data collection practices, usage, sharing, retention periods, and individuals' rights regarding their personal data.",Privacy,TEXT,TRUE,Provide a written privacy policy.,Automated Review via Internal Document,Day 1,P2.2,NULL,,,3
39,39,cyberLiabilityInsurance,Cyber Liability Insurance,"Explain your organization's coverage under Cyber Liability, Network Security, and Privacy Liability Insurance policies.",List the security controls implemented on your network.,"We hold Cyber Liability, Network Security, and Privacy Liability Insurance with coverage adequate to mitigate potential cyber incident impacts.",Privacy,TEXT,TRUE,"Provide evidence the organization maintains Cyber Liability, Network Security & Privacy Liability Insurance.",Validated Assessment by Person,Day 1,CC2.1,NULL,,,3
40,40,breachNotification,Breach Notification,Explain the process your organization follows to notify data controllers promptly upon becoming aware of a privacy data breach.,Summarize your protocol for notifying controllers after privacy breaches.,"Controllers are promptly notified of privacy data breaches within 24 hours of our organization's awareness, including detailed incident information and remediation steps.",Privacy,TEXT,TRUE,Provide evidence the organization requires notification to the controller after becoming aware of a data breach.,Validated Assessment by Person,Day 1,CC1.1 or CC1.4,NULL,,,3
41,41,privacyIncidentProcedure,Privacy Incident Procedure,Detail your organization's formal procedures for reporting and responding to privacy-related incidents.,Explain your process for handling security incidents.,"Formal procedures are in place for reporting, managing, and responding to privacy-related incidents, ensuring prompt and appropriate actions are taken.",Privacy,TEXT,TRUE,Provide evidence of a formal procedure for reporting and responding to privacy incidents exists,Validated Assessment by Person,Day 1,CC1.4,NULL,,,3
42,42,publicPrivacyNotice,Public Privacy Notice,Describe how your organization provides publicly accessible privacy notices or policies at all points of personal data collection and processing.,Describe how clearly you communicate privacy practices to users.,"Privacy notices and policies are publicly accessible at every point where personal data is collected, stored, processed, or transmitted, clearly detailing usage and rights.",Privacy,TEXT,TRUE,"Provide evidence the organization provides a privacy policy or privacy notice at all points where it collects, transmits, processes, handles, accesses, or stores personal data or personally identifiable information (PII). Describe how the privacy policy or privacy notice is published to client data subjects.",Self-Attestation & Self-Assertion,Day 1,P3.2,NULL,,,3
43,43,privacyLawCompliance,Privacy Law Compliance,"Explain how your organization's privacy policies and standards are designed to protect customer privacy and comply with global and local privacy regulations (e.g., GDPR, CCPA, CPPA, GLBA).",Detail your processes to ensure compliance with privacy laws.,"Privacy policies and standards are fully compliant with global and regional privacy laws, including GDPR, CCPA, CPPA, and GLBA, supported by regular compliance audits.",Privacy,TEXT,TRUE,Provide a written privacy policy designed to protect customer privacy and comply with global and local laws/regulations.,Validated Assessment by Person,Day 1,P2.2,NULL,,,3
44,44,dataRetentionLimits,Data Retention Limits,Explain your organization's practices for retaining personal data only for the duration necessary for its intended purposes.,Clarify your policy on how long personal data is retained.,"Personal data is retained only as long as required to fulfill the explicit purposes for which it was collected, after which it is securely destroyed.",Privacy,TEXT,TRUE,Provide evidence the organization requires personal data to be kept only for as long as is necessary for the purposes for which it is processed.,Validated Assessment by Person,Day 1,"P3.2, P4.2",NULL,,,3
45,45,personalDataMinimization,Personal Data Minimization,Describe how your organization ensures that personal data collection and processing is limited to what is strictly necessary for intended purposes.,Define your organization's recovery targets and how they were set.,"Collection and processing of personal data are strictly limited to essential business purposes, following clearly documented data minimization principles.",Privacy,TEXT,TRUE,"Provide evidence the organization requires personal data to be relevant, limited and minimized to what is necessary in relation to the purposes for which they are processed.",Validated Assessment by Person,Day 1,P3.2,NULL,,,3
46,46,dataMinimizationTechniques,Data Minimization Techniques,"Detail the technical measures your organization employs, such as pseudonymization or encryption, to implement data minimization principles.",Outline your data encryption methods for storage and transmission.,"Data minimization is enforced through technical measures such as pseudonymization, anonymization, and strong encryption practices in line with privacy regulations.",Privacy,TEXT,TRUE,"Describe technical measures, such as pseudonymization or encryption, you use to implement data minimization principles as required by data privacy regulations",Validated Assessment by Person,Day 1,P3.2,NULL,,,3
47,47,dpoAppointment,DPO Appointment,"Detail your organization's appointment of a Data Protection Officer (DPO), their role in compliance oversight, and the implementation of clear, informed user consent mechanisms, including withdrawal processes.",Describe how clearly you communicate privacy practices to users.,"A Data Protection Officer (DPO) has been formally appointed, responsible for overseeing compliance and ensuring informed consent mechanisms, including clear consent withdrawal procedures.",Privacy,TEXT,TRUE,Data Protection Officer (DPO),Validated Assessment by Person,Day 1,CC2.1,NULL,,,3
48,48,developmentLifecycle,Development Lifecycle,Summarize the components and key stages of your organization's written System Development Lifecycle (SDLC).,Briefly outline your software development lifecycle (SDLC) methodology.,"Our System Development Lifecycle (SDLC) includes defined stages: requirements gathering, secure development, rigorous testing, deployment, and post-release maintenance.",Development,TEXT,TRUE,Provide a written system development lifecycle (SDLC) document.,Validated Assessment by Person,Day 1,CC7.3,NULL,,,4
49,49,secureCodeReviews,Secure Code Reviews,Explain how your organization verifies that developers adhere to secure coding standards through source code reviews.,Briefly outline your approach to static or dynamic source code scanning.,Secure source code reviews are performed regularly to ensure developers follow established secure coding standards and practices prior to deployment.,Development,TEXT,TRUE,Provide evidence of secure source code reviews.,Validated Assessment by Person,Day 2,CC7.3,NULL,,,4
50,50,codeScanning,Code Scanning,Detail your organization's practices for performing automated static or dynamic source code scanning.,Explain controls that limit developer access to production environments.,Static and dynamic source code scanning tools are used during development cycles and prior to deployment to identify and remediate security vulnerabilities.,Development,TEXT,TRUE,Provide evidence on the assessment process and any tools used. Describe how the organization assesses the cyber risks of software prior to deployment.,Validated Assessment by Person,Day 1,CC7.3,NULL,,,4
51,51,developerAccessControls,Developer Access Controls,Describe your organization's approach to restricting developer access to production environments or securing systems during code deployment.,Describe how your organization addresses root causes of software vulnerabilities.,"Developer access to production environments is strictly controlled and monitored, restricted by role-based permissions and audited regularly.",Development,TEXT,TRUE,Describe how the organization manages developers access to deploy code into production environments. Describe any monitoring capabilities used.,Validated Assessment by Person,Day 1,CC7.3,NULL,,,4
52,52,backupRecoveryDocument,Backup Recovery Document,Explain your organization's documented requirements for backing up and restoring critical systems in cases of data loss or corruption.,Summarize the requirements for backup and recovery documentation.,"Our backup and recovery documentation clearly defines requirements and procedures for system backups, data restoration, and data integrity checks.",Development,TEXT,TRUE,Provide a written backup and recovery governing document.,Validated Assessment by Person,Day 1,"A1.2, CC1.2",NULL,,,4
53,53,dataLocationTracking,Data Location Tracking,Explain the procedures or technical measures your organization employs to define and document physical locations for processing and backing up customer data in cloud environments.,Explain security measures protecting your cloud resources.,Cloud data locations are tracked and documented through automated asset management tools and regular manual validations.,Development,TEXT,TRUE,Explain your process or technology used to track and document the physical locations and backup sites used for client data processing and storage.,Validated Assessment by Person,Day 1,"CC6.1, CC6.7",NULL,,,4
54,54,incidentContainment,Incident Containment,Outline your organization's incident response strategies designed to contain diverse types of cybersecurity incidents affecting your systems and information.,Indicate frequency and methodology of incident management testing.,"We maintain documented containment strategies tailored to various incident scenarios, enabling rapid isolation and mitigation of security threats.",Development,TEXT,TRUE,Provide evidence showing the types of containment strategies employed by the organization for diverse types of incidents that might impact the organization's systems and/or information. Describe the types of containment strategies employed by the organization for diverse types of incidents that might impact the organization's systems and/or information.,Validated Assessment by Person,Day 1,"CC7.5, CC1.5",NULL,,,4
55,55,alternateFacilities,Alternate Facilities,"Outline your organization's exercise and testing program to demonstrate connectivity, capacity, and functionality at alternate recovery facilities.",Describe your testing program for alternate site connectivity and capability.,"We regularly test connectivity, recovery time objectives, and system capacity at alternate recovery sites through annual resilience exercises.",Development,TEXT,TRUE,"Provide evidence the organization has developed an exercise and testing program that demonstrates the entity's ability to support connectivity, functionality, volume, and capacity using alternate facilities. Describe how the organization shares results of testing exercises to staff and management, such as through metrics or board reporting.",Validated Assessment by Person,Day 1,A1.2,NULL,,,4
56,56,logicalAccess,Logical Access,Provide details on the established process your organization uses to grant logical access only to authorized individuals with legitimate business requirements.,Detail the process used to manage logical system access.,"Logical access is granted only after managerial approval, with regular access reviews conducted quarterly to confirm continued business justification.",Development,TEXT,TRUE,Describe if employees and subcontractors are both included in the process. Describe the process used to only permit logical access to systems for authorized individuals who have a legitimate business requirement,Self-Attestation & Self-Assertion,Day 2,CC7.1,NULL,,,4
57,57,detectionSystems,Detection Systems,Explain your organization's procedures and tools for promptly investigating notifications from cybersecurity detection systems.,Explain how alerts from detection systems are promptly investigated.,Notifications from detection systems trigger immediate investigation protocols managed by our 24/7 security operations center (SOC).,Development,TEXT,TRUE,"Describe the tools and processes that are in place to ensure timely detection, alert, and activation of the incident response program.",Validated Assessment by Person,Day 1,CC7.5,NULL,,,4
58,58,disasterRecoveryTesting,Disaster Recovery Testing,"Describe how your organization conducts comprehensive disaster recovery tests or exercises for all critical technology components, including frequency and scope.",Summarize your process for tracking and resolving issues from continuity tests.,"Comprehensive disaster recovery tests covering all critical technology components are conducted annually, with results documented and improvements identified.",Development,TEXT,TRUE,Provide evidence showing an end-to-end technology disaster recovery test or exercise that includes all critical technology components was performed in the last 12 months. Describe how the organization's testing program validates the effectiveness of its cyber resilience framework on an annual or more frequent basis and according to the risk profile of the organization.  Describe the testing performed.,Validated Assessment by Person,Day 1,A1.2,NULL,,,4
59,59,appVulnerabilityScanning,App Vulnerability Scanning,"Provide details on how and when your organization conducts vulnerability scans for applications, including APIs, especially following significant changes or updates.",Summarize the frequency and conditions for performing penetration tests on applications.,"Application vulnerability scans are conducted quarterly and immediately after significant application changes, identifying and mitigating vulnerabilities promptly.",Development,TEXT,TRUE,"Provide evidence the organization conducts application vulnerability scans after a significant change, and at least every 3 months, for one application or API that stores, transfers, or processes client data. Describe the frequency that application vulnerability scanning occurs. Describe what a significant change is within the organization. Describe if scans are authenticated or unauthenticated. Describe the date of the last application vulnerability scan.",Self-Attestation & Self-Assertion,Day 1,CC7.4,NULL,,,4
60,60,externalSystems,External Systems,Describe how your organization maintains and updates its inventory of external information systems.,List external systems maintained by your organization clearly.,Our external information systems inventory is updated monthly and validated through automated discovery tools and manual audits.,Development,TEXT,TRUE,"Provide information related to the inventory that demonstrates the inventory includes the key characteristics of external information systems and who manages them (e.g., vendor, contractor, end user, etc.).",Validated Assessment by Person,Day 1,"CC5.2, CC7.1",NULL,,,4
61,61,testingIssueTracking,Testing Issue Tracking,"Explain your organization's method for documenting and resolving issues identified during business continuity testing, including action planning and target timelines.",Explain how recovery documentation and systems are updated after production changes.,"Issues identified during continuity tests are documented, tracked through resolution, and addressed with specific action plans and targeted completion dates.",Development,TEXT,TRUE,Provide evidence showing the organization documents issues identified during test exercises and create action plans with target dates for resolving issues.,Validated Assessment by Person,Day 1,A1.2,NULL,,,4
62,62,cloudDataRetrieval,Cloud Data Retrieval,Describe how your organization enables cloud service consumers (CSCs) to programmatically retrieve their data via encrypted application interfaces to facilitate interoperability and portability.,Explain security measures protecting your cloud resources.,"Cloud service customers can securely retrieve their data using encrypted application programming interfaces (APIs), supporting interoperability and easy portability.",Development,TEXT,TRUE,"Describe what capacity the organization relies on third parties to provide services that support the collection, storage, processing, handling, or transfer client data.",Validated Assessment by Person,Day 1,"CC3.2, CC9.2",NULL,,,4
63,63,recoverySystemsUpdate,Recovery Systems Update,Detail the process for updating recovery documentation and systems at alternate sites after changes to primary systems or business processes.,"Describe technical resilience mechanisms, like load balancing or failover systems.",Recovery documentation and systems at alternate sites are promptly updated following production system and business process changes.,Development,TEXT,TRUE,Describe the process followed to ensure that for production system and business process changes completed during the normal course of business include updating recovery systems and documentation at alternate locations to reflect production and primary system changes.,Validated Assessment by Person,Day 1,CC9,NULL,,,4
64,64,webApplicationSecurity,Web Application Security,"Describe the application-layer security solutions your organization employs, such as Web Application Firewalls (WAF) or proxy services.",State the security measures used for protecting web applications.,"Application-layer security measures include Web Application Firewalls (WAFs) and proxy services, providing protection against common web-based threats.",Development,TEXT,TRUE,Describe how the organization utilizes application layer (OSI Layer 7) security products like a Web Application Firewall (WAF) or proxy. Describe the tools used.,Validated Assessment by Person,Day 1,CC6.2,NULL,,,4
