company_logo,company_name,,,,,,,,,,founders_and_leadership,num_employees,revenue,key_clients_partners,investors,funding_stage,exit_strategy_history,certifications_compliance
NULL,Plaid,,,,,,,,,,"Zach Perret, William Hockey, CEO: Zach Perret",1500,500000000,"Venmo, Robinhood, Stripe","Index Ventures, Kleiner Perkins",Series D,"Acquired by Visa in 2020, valued at $5B","SOC 2 Type II, PCI DSS"
NULL,Revolut,,,,,,,,,,"Nikolay Storonsky, Vlad Yatsenko, CEO: Nikolay Storonsky",4000,1200000000,"Uber, Deliveroo","Index Ventures, Ribbit Capital",Series E,"Raised $500M in Series E, valued at $33B","SOC 2, PCI DSS"
NULL,Robinhood,,,,,,,,,,"Vladimir Tenev, Baiju Bhatt, CEO: Vladimir Tenev",1800,900000000,"Apple, Tesla, Microsoft","Sequoia Capital, Ribbit Capital",Series G,"IPO in 2021, raised $3.4B in funding","SOC 2, PCI DSS"
NULL,Sequoia Capital,,,,,,,,,,"Don Valentine, CEO: Michael Moritz",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,SoFi,,,,,,,,,,"Anthony Noto, CEO: Anthony Noto",3000,1000000000,"Uber, Airbnb","SoftBank Vision Fund, Silver Lake Partners",Series G,"IPO in 2021, raised $1.1B in Series G","SOC 2, PCI DSS"
NULL,Sofi Invest,,,,,,,,,,"Anthony Noto, CEO: Anthony Noto",500,300000000,"Uber, Airbnb","SoftBank Vision Fund, Silver Lake Partners",Series G,"Raised $1.1B in Series G, valued at $14B","SOC 2, PCI DSS"
NULL,SoftBank Vision Fund,,,,,,,,,,"Masayoshi Son, CEO: Masayoshi Son",500,NULL,NULL,NULL,Series E,NULL,NULL
NULL,Square,,,,,,,,,,"Jack Dorsey, Jim McKelvey, CEO: Jack Dorsey",5000,9300000000,"Starbucks, Whole Foods","Sequoia Capital, Tiger Global Management",IPO,"IPO in 2015, acquired Afterpay in 2021","SOC 2, PCI DSS"
NULL,Stripe,,,,,,,,,,"Patrick Collison, John Collison, CEO: Patrick Collison",5000,1700000000,"Shopify, Amazon, Lyft","Sequoia Capital, Andreessen Horowitz",Series H,"Raised $600M in Series H, valued at $95B in 2021","SOC 2 Type II, PCI DSS"
NULL,Tandem,,,,,,,,,,"Ricky Knox, CEO: Ricky Knox",500,150000000,"Apple, Tesco","Chime, Monzo",Series C,"Raised $80M in Series C, valued at $1.2B","SOC 2, PCI DSS"
NULL,Tiger Global Management,,,,,,,,,,"Charles Coleman, CEO: Charles Coleman",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Toast,,,,,,,,,,"Chris Comparato, CEO: Chris Comparato",1000,1000000000,"Chipotle, Panera Bread","Tiger Global Management, TCV",Series F,"Raised $400M in Series F, valued at $5B","SOC 2, PCI DSS"
NULL,TrueLayer,,,,,,,,,,"Francois de La Rochefoucauld, CEO: François de La Rochefoucauld",500,100000000,"Monzo, Revolut","Anthemis, Connect Ventures",Series C,"Raised $70M in Series C, valued at $1.5B","SOC 2, PCI DSS"
NULL,Union Square Ventures,,,,,,,,,,"Fred Wilson, CEO: Fred Wilson",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Viva Wallet,,,,,,,,,,"Aristeidis P. Papageorgiou, CEO: Aristeidis P. Papageorgiou",500,150000000,"Starbucks, McDonald's",NULL,Series B,"Raised $80M in Series B, valued at $2.5B","SOC 2, PCI DSS"
NULL,Wise,,,,,,,,,,"Kristo Kaarmann, CEO: Kristo Kaarmann",3000,1000000000,"TransferWise, Wise Global","Sequoia Capital, Andreessen Horowitz",IPO,"IPO in 2021, raised $12M in Series C","SOC 2, PCI DSS"
NULL,Xero,,,,,,,,,,"Rod Drury, CEO: Steve Vamos",3000,1500000000,"Uber, The Warehouse Group","Benchmark Capital, Accel",IPO,"IPO in 2007, valued at $15B","SOC 2, PCI DSS"
NULL,YAPSTONE,,,,,,,,,,"Doug Schaedler, CEO: Doug Schaedler",1000,200000000,"Airbnb, HomeAway","SoftBank, TCV",Series D,"Raised $100M in Series D, valued at $2.3B","SOC 2, PCI DSS"
NULL,Zopa,,,,,,,,,,"Jaidev Janardana, CEO: Jaidev Janardana",500,250000000,"Apple, Vodafone","Augmentum Fintech, IP Group",Series D,"Raised $100M in Series D, valued at $1.3B","SOC 2, PCI DSS"
NULL,a16z,,,,,,,,,,"Marc Andreessen, Ben Horowitz, CEO: Ben Horowitz",400,NULL,NULL,NULL,NULL,NULL,NULL
