"id","field_key","wizard_section","question_label","question","example_response","ai_search_instructions","partial_risk_score_max","created_at","updated_at"
"11","governance_information_security_policies","Governance","Information Security Policies","Does your company have a formally documented and regularly updated Information Security Policy (ISP)?","Yes, we maintain an Information Security Policy that is reviewed annually and aligned with ISO 27001 requirements.","Look for 'Information Security Policy,' 'ISMS Documentation,' or 'Security Governance.' Identify mentions of policy approval dates, review schedules, and employee compliance requirements.","24",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"12","governance_risk_assessment_treatment","Governance","Risk Assessment & Treatment","How does your company identify, assess, and mitigate information security risks?","We conduct risk assessments quarterly and maintain a risk register that documents mitigation plans.","Search for 'Risk Assessment,' 'Risk Treatment Plan,' or 'Risk Register.' Look for documentation of risk evaluation methods, mitigation controls, and periodic reviews.","30",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"13","governance_asset_management","Governance","Asset Management","Does your company maintain an inventory of all information assets, including classification and ownership?","Yes, all IT assets, databases, and cloud environments are tracked in our asset management system.","Scan for 'Asset Inventory,' 'Asset Classification,' or 'Information Asset Register.' Look for records of asset tracking, ownership assignments, and classification levels.","18",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"14","governance_access_control_policy","Governance","Access Control Policy","How does your company define and enforce access controls to sensitive data and systems?","We enforce least privilege access control and review permissions every six months.","Look under 'Access Control Policy,' 'User Privileges,' or 'Identity & Access Management.' Identify mentions of MFA, role-based access controls (RBAC), and permission audits.","21",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"15","governance_incident_management","Governance","Incident Management","What procedures are in place for detecting, reporting, and responding to security incidents?","We maintain an incident response plan and conduct annual tabletop exercises.","Search for 'Incident Response Plan,' 'Security Incident Management,' or 'Incident Logs.' Look for evidence of detection tools, response workflows, and reporting mechanisms.","27",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"16","governance_business_continuity_disaster_recovery","Governance","Business Continuity & Disaster Recovery","Does your company have a Business Continuity Plan (BCP) and Disaster Recovery (DR) strategy?","Yes, we have a documented BCP that is tested annually through simulated outages.","Look for 'Business Continuity Plan,' 'Disaster Recovery Plan,' or 'BCP/DR Testing.' Identify testing schedules, recovery objectives, and crisis response procedures.","3",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"17","governance_supplier_vendor_risk_management","Governance","Supplier & Vendor Risk Management","How does your company evaluate and manage security risks associated with third-party vendors?","We conduct vendor risk assessments before onboarding and require annual security audits.","Scan for 'Third-Party Risk Management,' 'Vendor Security Policy,' or 'Supplier Risk Assessment.' Look for audit requirements, compliance obligations, and contractual risk clauses.","15",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"18","governance_cryptographic_controls","Governance","Cryptographic Controls","What cryptographic measures does your company use to protect sensitive data?","We encrypt all sensitive data using AES-256 and enforce TLS 1.3 for data transmission.","Look for 'Cryptographic Controls,' 'Encryption Policy,' or 'Data Security Measures.' Identify encryption standards (AES, TLS), key management practices, and data protection mechanisms.","6",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"19","governance_security_awareness_training","Governance","Security Awareness & Training","How does your company ensure employees are regularly trained on security policies and best practices?","We require all employees to complete security awareness training annually.","Scan for 'Security Training Policy,' 'Employee Security Awareness,' or 'Cybersecurity Education.' Look for training schedules, phishing test results, and employee compliance tracking.","12",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"20","governance_compliance_audits_continuous_improvement","Governance","Compliance Audits & Continuous Improvement","How does your company conduct internal audits to ensure continuous improvement of information security controls?","We conduct biannual ISO 27001 internal audits and address any nonconformities through corrective actions.","Look for 'Internal Audit Procedures,' 'Compliance Reviews,' or 'ISO 27001 Continuous Improvement.' Identify audit frequency, corrective action plans, and security improvement processes.","9",2025-02-27T02:30:34.435Z,2025-02-27T02:30:34.435Z
"21","security_testing_external_attack_surface_assessment","Security Testing","External Attack Surface Assessment","What are the key exposed assets and external services identified during penetration testing?","The test identified 12 exposed web applications and 3 externally accessible databases.","Look for 'External Attack Surface,' 'Port Scanning Results,' or 'Publicly Accessible Services.' Identify open ports, exposed web applications, or internet-facing assets.","12",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"22","security_testing_critical_vulnerabilities_exploits","Security Testing","Critical Vulnerabilities & Exploits","What critical vulnerabilities were identified in the penetration test, and how exploitable were they?","A SQL injection vulnerability in `/product.php` allows full database compromise.","Look for 'Critical Vulnerabilities,' 'Exploit Details,' or 'Proof-of-Concept Attacks.' Identify SQL injection, command execution, privilege escalation, or authentication bypass findings.","30",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"23","security_testing_authentication_access_control_weaknesses","Security Testing","Authentication & Access Control Weaknesses","Were any authentication weaknesses or access control flaws identified?","The application allowed password spraying attacks due to lack of rate limiting.","Look for 'Authentication Bypass,' 'Weak Passwords,' or 'Access Control Failures.' Identify missing MFA, weak password policies, exposed credentials, or brute-force vulnerabilities.","21",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"24","security_testing_web_application_security","Security Testing","Web Application Security","Did the penetration test uncover vulnerabilities related to web applications, such as SQL injection, XSS, or insecure authentication?","SQL Injection was found in `/login.php`, allowing database dumping.","Look for 'Web Application Security,' 'OWASP Top 10,' or 'Cross-Site Scripting (XSS).' Identify SQL injection, cross-site scripting (XSS), insecure authentication, or unvalidated input findings.","24",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"25","security_testing_network_security_misconfigurations","Security Testing","Network Security & Misconfigurations","What network security weaknesses were found, and how could they be exploited?","Multiple unnecessary services were exposed, including open RDP on public-facing IPs.","Look for 'Network Security,' 'Firewall Rules,' or 'Port Scanning Results.' Identify open ports, exposed services, or network misconfigurations.","6",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"26","security_testing_privilege_escalation_findings","Security Testing","Privilege Escalation Findings","Did the test identify privilege escalation vulnerabilities that could allow attackers to gain higher-level access?","An unpatched kernel vulnerability allowed attackers to escalate to root.","Look for 'Privilege Escalation,' 'Root Access,' or 'Admin Privileges.' Identify weak sudo permissions, kernel vulnerabilities, or local privilege escalation flaws.","18",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"27","security_testing_exploitable_misconfigurations","Security Testing","Exploitable Misconfigurations","Were any security misconfigurations found that could be exploited by attackers?","Outdated Apache and PHP versions exposed known vulnerabilities.","Look for 'Security Misconfigurations,' 'Outdated Software,' or 'Unpatched Systems.' Identify old software versions, misconfigured services, or weak security settings.","3",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"28","security_testing_exploited_systems_impact","Security Testing","Exploited Systems & Impact","Which systems were successfully exploited during the penetration test, and what was the potential impact?","A compromised web server allowed full database access and the ability to exfiltrate sensitive customer records.","Look for 'Exploited Systems,' 'Attack Chain,' or 'Post-Exploitation Findings.' Identify systems that were breached, their vulnerabilities, and the associated business impact.","27",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"29","security_testing_security_logging_detection_gaps","Security Testing","Security Logging & Detection Gaps","Did the penetration test identify any weaknesses in logging, monitoring, or intrusion detection systems?","No alerts were triggered for unauthorized access attempts, indicating gaps in security logging.","Look for 'Security Logging,' 'Detection Failures,' or 'SIEM Effectiveness.' Identify lacking log retention, weak SIEM configurations, or failure to detect attacks.","9",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"30","security_testing_remediation_recommendations","Security Testing","Remediation Recommendations","What remediation steps were recommended in the penetration test report to address identified vulnerabilities?","Enforce MFA on all critical user accounts and restrict public access to database services.","Look for 'Remediation Plan,' 'Security Recommendations,' or 'Risk Mitigation Steps.' Identify patching requirements, policy improvements, or security best practices suggested.","15",2025-02-27T02:30:54.380Z,2025-02-27T02:30:54.380Z
"31","business_continuity_planning_business_impact_analysis","Business Continuity Planning","Business Impact Analysis","Has your company conducted a Business Impact Analysis (BIA) to identify critical functions, dependencies, and recovery priorities?","Yes, we conduct a Business Impact Analysis annually to assess the recovery time objective (RTO) for each critical process.","Look for 'Business Impact Analysis (BIA),' 'Critical Function Identification,' or 'Continuity Priorities.' Identify assessments of operational impact, recovery timelines, and dependencies on IT, staff, or external suppliers.","24",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"32","business_continuity_planning_disaster_scenarios_preparedness","Business Continuity Planning","Disaster Scenarios & Preparedness","Has your company identified disaster scenarios that could disrupt operations, and are there plans to mitigate these risks?","We have defined scenarios for natural disasters, cyberattacks, and IT failures, with contingency measures in place.","Search for 'Disaster Scenarios,' 'Risk Scenarios,' or 'Preparedness Planning.' Identify types of disruptions considered, contingency actions, and impact mitigation strategies.","30",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"33","business_continuity_planning_emergency_response_crisis_management","Business Continuity Planning","Emergency Response & Crisis Management","Does your company have a documented Emergency Response Plan (ERP) and Crisis Management structure?","Yes, we have an Incident Response Team (IRT) responsible for coordinating crisis response and communication.","Look for 'Emergency Response Plan,' 'Crisis Management,' or 'Incident Handling Procedures.' Identify roles, responsibilities, and defined actions during an emergency.","21",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"34","business_continuity_planning_it_disaster_recovery_data_protection","Business Continuity Planning","IT Disaster Recovery & Data Protection","Does your company have an IT Disaster Recovery Plan (IT DRP) in place, including backup procedures and data protection policies?","We maintain offsite and cloud-based backups with defined recovery time objectives (RTOs).","Search for 'IT Disaster Recovery Plan,' 'Backup Procedures,' or 'Failover & Redundancy.' Identify backup frequency, system failover procedures, and IT recovery testing schedules.","18",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"35","business_continuity_planning_alternate_work_locations_remote_work","Business Continuity Planning","Alternate Work Locations & Remote Work","Does your company have provisions for remote work or alternate work locations in case primary facilities become unusable?","Yes, we have predefined backup office spaces and remote work capabilities for all critical employees.","Look for 'Remote Work Plan,' 'Alternate Work Locations,' or 'Telecommuting Policy.' Identify plans for employee relocation, remote access security, and business continuity measures for workforce displacement.","6",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"36","business_continuity_planning_key_personnel_succession_planning","Business Continuity Planning","Key Personnel & Succession Planning","Does your company have a plan to ensure continuity of leadership and critical personnel roles during a crisis?","Yes, we maintain a leadership succession plan and cross-train employees to cover essential roles in emergencies.","Look for 'Key Personnel Contingency Plan,' 'Succession Planning,' or 'Leadership Continuity.' Identify role redundancy strategies, emergency delegation procedures, and plans for staff reallocation.","9",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"37","business_continuity_planning_communication_plan_stakeholders","Business Continuity Planning","Communication Plan for Stakeholders","Does your company have a structured communication plan to inform employees, customers, and suppliers during a business disruption?","Yes, we have predefined communication templates and emergency contact lists for internal and external stakeholders.","Search for 'Crisis Communication Plan,' 'Emergency Contact List,' or 'Stakeholder Notification Procedures.' Identify methods of internal and external communication during disruptions, including predefined message templates and escalation paths.","12",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"38","business_continuity_planning_third_party_supplier_continuity","Business Continuity Planning","Third-Party & Supplier Continuity","Has your company assessed supplier dependencies and established contingency plans for critical vendors?","We require key suppliers to maintain their own business continuity plans and provide us with annual updates.","Look for 'Supplier Business Continuity,' 'Third-Party Risk Management,' or 'Critical Vendor Assessments.' Identify dependency mapping, supplier continuity measures, and alternative vendor plans.","3",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"39","business_continuity_planning_maintenance_business_continuity_plan","Business Continuity Planning","Maintenance of the Business Continuity Plan","How frequently does your company test and update its Business Continuity Plan (BCP)?","We conduct BCP tabletop exercises twice a year and update the plan based on test results.","Search for 'Business Continuity Plan Testing,' 'BCP Review Schedule,' or 'Resilience Drills.' Identify test frequency, BCP maintenance procedures, and update logs.","27",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"40","business_continuity_planning_financial_risk_mitigation_insurance","Business Continuity Planning","Financial Risk Mitigation & Insurance Coverage","Does your company have financial risk mitigation strategies, including business interruption insurance?","Yes, we maintain business interruption insurance to cover revenue losses during operational disruptions.","Look for 'Business Interruption Insurance,' 'Financial Resilience Planning,' or 'Crisis Financial Planning.' Identify coverage details, funding strategies, and financial continuity measures.","15",2025-02-27T02:31:34.234Z,2025-02-27T02:31:34.234Z
"41","data_privacy_compliance_data_subject_rights","Data Privacy Compliance","Data Subject Rights Compliance","How does your company ensure compliance with GDPR and CCPA data subject rights, such as the right to access, delete, and correct personal data?","We provide an online portal where users can request access to, delete, or modify their personal data.","Look for 'Data Subject Rights,' 'Right to Access,' 'Right to Erasure,' or 'Right to Correction.' Identify details on how individuals can exercise their rights, including request processing timelines and mechanisms.","30",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"42","data_privacy_compliance_legal_basis_data_processing","Data Privacy Compliance","Legal Basis for Data Processing","What is the legal basis for processing personal data under GDPR and CCPA regulations?","We process data based on user consent, contractual necessity, and legitimate business interests.","Look for 'Legal Basis for Processing,' 'Legitimate Interest Assessment,' or 'Data Processing Grounds.' Identify how organizations justify personal data collection and whether they obtain proper consent.","24",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"43","data_privacy_compliance_data_collection_use_disclosure","Data Privacy Compliance","Data Collection, Use, and Disclosure","Does your company document and disclose how personal data is collected, used, and shared in compliance with GDPR and CCPA?","Yes, our privacy policy explicitly states how we collect, use, and share data, updated annually.","Look for 'Privacy Policy,' 'Data Processing Agreement (DPA),' or 'Notice of Collection.' Identify whether companies provide clear disclosures about their data handling practices.","12",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"44","data_privacy_compliance_consumer_opt_out_data_sale","Data Privacy Compliance","Consumer Opt-Out & Data Sale Management","How does your company comply with GDPR and CCPA opt-out requirements, including the sale of personal data?","We provide a 'Do Not Sell My Personal Information' link on our homepage as required by CCPA.","Look for 'Opt-Out Mechanisms,' 'Do Not Sell My Info,' or 'Data Sale Management.' Identify whether businesses have implemented clear opt-out procedures.","21",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"45","data_privacy_compliance_data_retention_deletion","Data Privacy Compliance","Data Retention & Deletion Policies","What are your company's policies regarding data retention and deletion under GDPR and CCPA?","We retain user data for no longer than necessary and have automated deletion processes.","Look for 'Data Retention Policies,' 'Data Deletion,' or 'Right to Be Forgotten.' Identify how companies determine data storage duration and implement deletion procedures.","9",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"46","data_privacy_compliance_third_party_data_sharing","Data Privacy Compliance","Third-Party Data Sharing & Vendor Compliance","Does your company have agreements in place to ensure that third-party vendors comply with GDPR and CCPA requirements?","Yes, we require all third-party vendors to sign Data Processing Agreements (DPAs) and conduct regular audits.","Look for 'Third-Party Data Sharing,' 'Data Processing Agreements (DPAs),' or 'Vendor Compliance.' Identify whether companies have contractual safeguards and monitoring for vendor data processing activities.","18",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"47","data_privacy_compliance_data_breach_notification","Data Privacy Compliance","Data Breach Notification & Incident Response","What procedures does your company have in place to detect, respond to, and report data breaches under GDPR and CCPA?","We follow a 72-hour breach notification policy as required by GDPR and inform affected users as per CCPA rules.","Look for 'Data Breach Notification Policy,' 'Incident Response Plan,' or 'Security Incident Handling.' Identify breach reporting timelines, forensic response measures, and consumer notification requirements.","27",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"48","data_privacy_compliance_data_minimization","Data Privacy Compliance","Data Minimization & Purpose Limitation","How does your company ensure that personal data is collected and processed only for necessary and specified purposes?","We adhere to GDPR’s data minimization principles and regularly review data collection practices.","Look for 'Data Minimization Policy,' 'Purpose Limitation,' or 'Privacy by Design.' Identify whether organizations enforce strict controls on unnecessary data collection.","6",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"49","data_privacy_compliance_sensitive_personal_information","Data Privacy Compliance","Sensitive Personal Information Handling","Does your company apply special protections to sensitive personal information under GDPR and CCPA?","We classify and encrypt all sensitive personal data, including health and financial records.","Look for 'Sensitive Personal Data Protection,' 'Special Categories of Data,' or 'Encryption Policy.' Identify how organizations protect and restrict access to high-risk personal data.","15",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"50","data_privacy_compliance_employee_privacy_training","Data Privacy Compliance","Employee Privacy Training & Awareness","How does your company train employees to comply with GDPR and CCPA data protection obligations?","All employees undergo annual privacy training, with additional role-specific training for data handlers.","Look for 'Privacy Training,' 'Employee Awareness Programs,' or 'Data Protection Training Policy.' Identify mandatory training schedules, employee compliance tracking, and privacy awareness efforts.","3",2025-02-27T02:31:55.096Z,2025-02-27T02:31:55.096Z
"51","data_security_controls_data_protection_design_default","Data Security Controls","Data Protection by Design & Default","How does your company ensure that data protection measures are incorporated by design and by default in all data processing activities?","We implement privacy-enhancing technologies and enforce strict access controls to minimize unnecessary data exposure.","Look for 'Data Protection by Design,' 'Privacy by Default,' or 'GDPR Article 25 Compliance.' Identify how organizations implement privacy from the initial design phase and ensure default configurations protect user data.","30",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"52","data_security_controls_data_access_role_based_permissions","Data Security Controls","Data Access & Role-Based Permissions","How does your company manage access controls to ensure only authorized personnel have access to sensitive data?","We enforce role-based access control (RBAC) to restrict access based on job function and regularly review permissions.","Look for 'Access Control Policy,' 'RBAC Implementation,' or 'Data Access Governance.' Identify whether access is restricted based on job roles, multi-factor authentication is enforced, and audit logs are maintained.","18",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"53","data_security_controls_data_encryption_secure_storage","Data Security Controls","Data Encryption & Secure Storage","What encryption methods does your company use to protect personal data at rest and in transit?","All stored data is encrypted using AES-256, and data in transit is protected with TLS 1.3 encryption.","Look for 'Data Encryption Policy,' 'AES-256 Implementation,' or 'Secure Data Storage.' Identify encryption standards used for data protection, including key management policies and secure storage techniques.","27",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"54","data_security_controls_data_retention_disposal","Data Security Controls","Data Retention & Disposal Policies","How does your company define and enforce data retention and disposal policies?","We have a formal data retention schedule that aligns with legal and compliance requirements, and we automate data deletion when retention periods expire.","Look for 'Data Retention Policy,' 'Data Disposal Guidelines,' or 'Data Minimization Strategy.' Identify retention periods, deletion mechanisms, and legal compliance for data lifecycle management.","15",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"55","data_security_controls_data_sharing_third_party","Data Security Controls","Data Sharing & Third-Party Agreements","What policies and agreements does your company have in place to ensure secure data sharing with third parties?","All third parties must sign Data Processing Agreements (DPAs) that align with GDPR and CCPA requirements.","Look for 'Third-Party Data Sharing,' 'Data Processing Agreements (DPA),' or 'Vendor Risk Management.' Identify contractual obligations, security measures for third-party data sharing, and compliance verification processes.","12",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"56","data_security_controls_data_protection_impact_assessments","Data Security Controls","Data Protection Impact Assessments (DPIA)","Does your company conduct Data Protection Impact Assessments (DPIAs) before processing high-risk personal data?","We conduct DPIAs for any project involving large-scale personal data processing, as required by GDPR.","Look for 'Data Protection Impact Assessment,' 'DPIA Policy,' or 'Risk Assessment Procedures.' Identify how DPIAs are conducted, documented, and integrated into decision-making processes.","24",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"57","data_security_controls_employee_training_awareness","Data Security Controls","Employee Training & Awareness Programs","How does your company ensure employees are trained in data protection best practices?","We conduct annual privacy training sessions and phishing simulations to raise awareness of security risks.","Look for 'Employee Privacy Training,' 'Security Awareness Programs,' or 'Data Protection Training Policy.' Identify mandatory training schedules, compliance tracking, and awareness initiatives.","3",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"58","data_security_controls_cross_border_data_transfers","Data Security Controls","Cross-Border Data Transfers & Compliance","How does your company ensure compliance when transferring personal data across international borders?","We use Standard Contractual Clauses (SCCs) and Binding Corporate Rules (BCRs) to ensure compliance with GDPR and other international regulations.","Look for 'Cross-Border Data Transfer Policy,' 'Standard Contractual Clauses (SCCs),' or 'Binding Corporate Rules (BCRs).' Identify legal frameworks and mechanisms used to protect personal data in cross-border transfers.","9",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"59","data_security_controls_incident_response_data_breach","Data Security Controls","Incident Response & Data Breach Management","How does your company respond to data breaches, and what notification procedures are in place?","We have a 24/7 incident response team and notify affected individuals and regulators within required legal timeframes.","Look for 'Incident Response Plan,' 'Data Breach Notification Policy,' or 'Security Incident Handling.' Identify notification timeframes, legal compliance measures, and corrective action processes.","21",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"60","data_security_controls_pseudonymization_strategies","Data Security Controls","Pseudonymization Strategies","What methods does your company use to anonymize or pseudonymize personal data?","We apply hashing and tokenization techniques to protect user data while maintaining usability.","Look for 'Data Anonymization Policy,' 'Pseudonymization Techniques,' or 'Data Masking Strategies.' Identify methods used to reduce the identifiability of personal data while preserving analytical value.","6",2025-02-27T02:32:13.384Z,2025-02-27T02:32:13.384Z
"61","api_access_control_authentication_authorization","API Access Control","Authentication & Authorization","How does your company ensure secure authentication and authorization for API access?","We use OAuth 2.0 with JWTs for authentication and enforce role-based access control (RBAC) at the API level.","Look for 'API Authentication,' 'OAuth Implementation,' or 'Access Control Policies.' Identify the use of authentication frameworks, token validation methods, and API access restrictions.","30",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"62","api_access_control_api_gateway_rate_limiting","API Access Control","API Gateway & Rate Limiting","Does your company use an API gateway to enforce security policies, and do you implement rate limiting to prevent abuse?","Yes, our API gateway applies rate limiting, IP whitelisting, and request throttling to prevent API abuse.","Look for 'API Gateway Configuration,' 'Rate Limiting Policies,' or 'Throttling Mechanisms.' Identify whether companies use gateways like Apigee, AWS API Gateway, or Kong for security enforcement.","15",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"63","api_access_control_data_encryption_secure_communication","API Access Control","Data Encryption & Secure Communication","How does your company ensure that API data is securely transmitted and stored?","We enforce TLS 1.2+ for all API traffic and encrypt sensitive data at rest using AES-256.","Look for 'API TLS Encryption,' 'Data Encryption Standards,' or 'Secure API Communication.' Identify whether APIs use strong cryptographic protocols and enforce secure communication policies.","27",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"64","api_access_control_api_inventory_shadow_api_discovery","API Access Control","API Inventory & Shadow API Discovery","Does your company maintain an API inventory, and how do you detect unmanaged or shadow APIs?","We maintain a centralized API catalog and use API discovery tools to identify undocumented endpoints.","Look for 'API Inventory,' 'Shadow API Detection,' or 'Unmanaged API Discovery.' Identify if organizations use tools like Akamai API Security, Salt Security, or OWASP ZAP to monitor APIs.","12",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"65","api_access_control_security_testing_vulnerability_management","API Access Control","Security Testing & Vulnerability Management","How does your company test APIs for security vulnerabilities before deployment?","We integrate static and dynamic API security testing into our CI/CD pipeline.","Look for 'API Security Testing,' 'SAST & DAST,' or 'Penetration Testing Results.' Identify if companies use tools like Burp Suite, Postman, or OWASP API Security Testing Frameworks.","24",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"66","api_access_control_logging_monitoring_threat_detection","API Access Control","Logging, Monitoring, & Threat Detection","How does your company monitor API activity for security threats and detect anomalies?","We use centralized API logging and real-time monitoring to detect suspicious activity.","Look for 'API Logging,' 'Threat Detection,' or 'Security Incident Monitoring.' Identify whether API traffic is logged, analyzed, and monitored for security events.","21",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"67","api_access_control_access_token_security_management","API Access Control","Access Token Security & Management","How does your company securely manage API access tokens and prevent token abuse?","We use OAuth 2.0 with short-lived tokens and refresh token rotation to prevent token abuse.","Look for 'API Token Management,' 'OAuth Security,' or 'JWT Implementation.' Identify token expiration policies, refresh mechanisms, and token access controls.","9",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
